Date,5,3,2,1,0,total,위험자산비중,rebal
2015-10-01,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2015-10-02,0.00%,34.90%,13.97%,30.08%,21.05%,100.00%,0.00%,False
2015-10-05,0.00%,35.01%,14.10%,29.94%,20.96%,100.00%,0.00%,False
2015-10-06,0.00%,35.09%,14.19%,29.84%,20.88%,100.00%,0.00%,False
2015-10-07,0.00%,35.19%,14.22%,29.76%,20.83%,100.00%,0.00%,False
2015-10-08,0.00%,35.16%,14.23%,29.77%,20.84%,100.00%,0.00%,False
2015-10-12,0.00%,35.17%,14.41%,29.66%,20.76%,100.00%,0.00%,False
2015-10-13,0.00%,35.20%,14.40%,29.64%,20.75%,100.00%,0.00%,False
2015-10-14,0.00%,35.09%,14.34%,29.74%,20.82%,100.00%,0.00%,False
2015-10-15,0.00%,35.12%,14.34%,29.73%,20.81%,100.00%,0.00%,False
2015-10-16,0.00%,35.15%,14.46%,29.65%,20.75%,100.00%,0.00%,False
2015-10-19,0.00%,35.08%,14.47%,29.68%,20.77%,100.00%,0.00%,False
2015-10-20,0.00%,35.25%,14.45%,29.59%,20.71%,100.00%,0.00%,False
2015-10-21,0.00%,35.31%,14.48%,29.54%,20.67%,100.00%,0.00%,False
2015-10-22,0.00%,35.21%,14.42%,29.63%,20.74%,100.00%,0.00%,False
2015-10-23,0.00%,35.38%,14.60%,29.42%,20.59%,100.00%,0.00%,False
2015-10-26,0.00%,35.75%,14.52%,29.25%,20.47%,100.00%,0.00%,False
2015-10-27,0.00%,35.68%,14.53%,29.29%,20.49%,100.00%,0.00%,False
2015-10-28,0.00%,35.78%,14.56%,29.22%,20.44%,100.00%,0.00%,False
2015-10-29,0.00%,35.87%,14.61%,29.14%,20.38%,100.00%,0.00%,False
2015-10-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2015-11-02,21.05%,34.90%,13.88%,30.17%,0.00%,100.00%,21.05%,False
2015-11-03,21.05%,35.00%,13.99%,29.95%,0.00%,100.00%,21.05%,False
2015-11-04,21.11%,34.99%,14.01%,29.89%,0.00%,100.00%,21.11%,False
2015-11-05,21.35%,34.96%,13.92%,29.77%,0.00%,100.00%,21.35%,False
2015-11-06,21.46%,34.83%,13.92%,29.79%,0.00%,100.00%,21.46%,False
2015-11-09,20.88%,35.32%,13.97%,29.84%,0.00%,100.00%,20.88%,False
2015-11-10,20.58%,35.27%,13.98%,30.17%,0.00%,100.00%,20.58%,False
2015-11-11,20.94%,34.98%,13.98%,30.10%,0.00%,100.00%,20.94%,False
2015-11-12,21.10%,34.99%,13.91%,30.00%,0.00%,100.00%,21.10%,False
2015-11-13,21.19%,34.83%,13.78%,30.20%,0.00%,100.00%,21.19%,False
2015-11-16,21.10%,34.72%,13.70%,30.49%,0.00%,100.00%,21.10%,False
2015-11-17,21.23%,34.82%,13.81%,30.15%,0.00%,100.00%,21.23%,False
2015-11-18,21.33%,34.72%,13.79%,30.16%,0.00%,100.00%,21.33%,False
2015-11-19,21.36%,34.90%,13.87%,29.87%,0.00%,100.00%,21.36%,False
2015-11-20,21.49%,34.77%,13.87%,29.88%,0.00%,100.00%,21.49%,False
2015-11-23,21.43%,34.95%,13.87%,29.75%,0.00%,100.00%,21.43%,False
2015-11-24,21.49%,34.87%,13.85%,29.78%,0.00%,100.00%,21.49%,False
2015-11-25,21.52%,34.76%,13.88%,29.84%,0.00%,100.00%,21.52%,False
2015-11-26,21.62%,34.83%,13.85%,29.69%,0.00%,100.00%,21.62%,False
2015-11-27,21.53%,34.91%,13.86%,29.70%,0.00%,100.00%,21.53%,False
2015-11-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
