Date,월별수익률
2015-10-01,0.0
2015-10-30,0.03331026565082662
2015-11-30,0.0065829357707680725
2015-12-30,-0.0003518503119737115
2016-01-29,-0.02764525960617703
2016-02-29,-0.0026629434028553334
2016-03-31,0.017799013742922032
2016-04-29,-0.010189143705774062
2016-05-31,0.019977252833843773
2016-06-30,-0.015414524033799282
2016-07-29,0.021405051936286057
2016-08-31,0.006318401125374518
2016-09-30,-0.0029828081277789575
2016-10-31,0.007536327850132363
2016-11-30,0.0002825417583667278
2016-12-29,0.02486047839965555
2017-01-31,0.0009823295450601677
2017-02-28,0.01320213449126828
2017-03-31,0.007748737781698267
2017-04-28,0.015133084623588644
2017-05-31,0.0166454287462372
2017-06-30,0.0028997837189967957
2017-07-31,0.008624112311308219
2017-08-31,-0.00016263583675479865
2017-09-29,0.009774211991601334
2017-10-31,0.0156230258848844
2017-11-30,0.02273803953207243
2017-12-28,0.014818431798482301
2018-01-31,0.06402511401554101
2018-02-28,-0.027569557742954554
2018-03-30,-0.014968108007293868
2018-04-30,-0.0007205305993949196
2018-05-31,0.008604080643561884
2018-06-29,0.0052204556876152
2018-07-31,0.007982418320872764
2018-08-31,0.018921891501202825
2018-09-28,0.00028891993796298365
2018-10-31,-0.04412398221218994
2018-11-30,0.01613631144307548
2018-12-28,-0.04279914955605979
2019-01-31,0.04680712581950264
2019-02-28,0.0231189337526696
2019-03-29,0.004059541201316907
2019-04-30,0.0244327143704115
2019-05-31,-0.03038030405145642
2019-06-28,0.023836982527621675
2019-07-31,0.01270292250486027
2019-08-30,-0.010880092410746611
2019-09-30,0.00920053644677532
2019-10-31,0.008820717359345531
2019-11-29,0.00291618145052297
2019-12-30,0.037996156072753084
2020-01-31,-0.001748509435964496
2020-02-28,-0.045984698745562325
2020-03-31,-0.043018926246793154
2020-04-29,0.06550869431484463
2020-05-29,0.03038108992427202
2020-06-30,0.014050135914135842
2020-07-31,0.03602173977257861
2020-08-31,0.03678736962191853
2020-09-29,-0.01844584360340551
2020-10-30,-0.0220462706072172
2020-11-30,0.07867653442307287
2020-12-30,0.060939890615700154
2021-01-29,-0.00025271596657039375
2021-02-26,-0.008568086910790251
2021-03-31,0.02003383436255457
2021-04-30,0.017389500516039824
2021-05-31,-0.0015528812275557025
2021-06-30,0.022776988787210017
2021-07-30,0.007439563335841948
2021-08-31,0.017354502610353872
2021-09-30,-0.017622195657469475
2021-10-29,0.007710225293807937
2021-11-30,0.011763763301019026
2021-12-30,0.02635959254150877
2022-01-28,-0.09143422367356224
2022-02-28,-0.0038223601173904553
2022-03-31,0.04477126454785485
2022-04-29,-0.04539916838320446
2022-05-31,-0.017116450905467984
2022-06-30,-0.04243354558241785
2022-07-29,0.04559992531663637
2022-08-31,-0.0064828690236991005
2022-09-30,-0.03821022491932213
2022-10-31,0.022299526721513585
2022-11-30,0.005068385362651862
2022-12-29,-0.05310310129642981
2023-01-31,0.05152615678761063
2023-02-28,0.0409711791781282
2023-03-31,0.04169510962141443
2023-04-28,0.018052020028171745
2023-05-31,0.02409712563861599
2023-06-30,0.01507263939734882
2023-07-28,0.007897618725858813
2023-08-31,0.002458457135840808
2023-09-27,-0.017728330948236226
2023-10-31,-0.019189423364925462
2023-11-30,0.07720876638582475
2023-12-28,0.04275766801692549
2024-01-31,-0.0162987556287717
