Date,069500.KS mkt val,114260.KS mkt val,133690.KS mkt val,143850.KS mkt val,153130.KS mkt val,157450.KS mkt val,229200.KS mkt val,cash_rem,port_val
2015-10-01,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-02,0.00%,0.00%,50.01%,49.99%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-05,0.00%,0.00%,49.96%,50.04%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-06,0.00%,0.00%,49.81%,50.19%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-07,0.00%,0.00%,49.65%,50.35%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-08,0.00%,0.00%,49.47%,50.53%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-12,0.00%,0.00%,49.13%,50.87%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-13,0.00%,0.00%,49.22%,50.78%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-14,0.00%,0.00%,49.20%,50.80%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-15,0.00%,0.00%,49.06%,50.94%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-16,0.00%,0.00%,48.97%,51.03%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-19,0.00%,0.00%,48.86%,51.14%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-20,0.00%,0.00%,49.09%,50.91%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-21,0.00%,0.00%,49.09%,50.91%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-22,0.00%,0.00%,49.11%,50.89%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-23,0.00%,0.00%,48.99%,51.01%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-26,0.00%,0.00%,49.62%,50.38%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-27,0.00%,0.00%,49.51%,50.49%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-28,0.00%,0.00%,49.62%,50.38%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-29,0.00%,0.00%,49.72%,50.28%,0.00%,0.00%,0.00%,0.00%,100.00%
2015-10-30,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,100.00%
