Date,5,3,2,1,0,total,위험자산비중
2017-11-02 00:00:00,0.00%,30.04%,19.94%,49.85%,0.18%,100.00%,0.00%
2017-11-03 00:00:00,0.00%,30.06%,19.97%,49.79%,0.18%,100.00%,0.00%
2017-11-06 00:00:00,0.00%,30.06%,19.98%,49.78%,0.18%,100.00%,0.00%
2017-11-07 00:00:00,0.00%,30.11%,20.07%,49.64%,0.18%,100.00%,0.00%
2017-11-08 00:00:00,0.00%,30.18%,20.00%,49.65%,0.18%,100.00%,0.00%
2017-11-09 00:00:00,0.00%,30.21%,20.02%,49.60%,0.18%,100.00%,0.00%
2017-11-10 00:00:00,0.00%,30.17%,20.00%,49.66%,0.18%,100.00%,0.00%
2017-11-13 00:00:00,0.00%,30.19%,19.96%,49.67%,0.18%,100.00%,0.00%
2017-11-14 00:00:00,0.00%,30.18%,19.94%,49.70%,0.18%,100.00%,0.00%
2017-11-15 00:00:00,0.00%,30.01%,19.98%,49.83%,0.18%,100.00%,0.00%
2017-11-16 00:00:00,0.00%,29.91%,20.01%,49.91%,0.18%,100.00%,0.00%
2017-11-17 00:00:00,0.00%,29.92%,20.04%,49.86%,0.18%,100.00%,0.00%
2017-11-20 00:00:00,0.00%,29.90%,20.00%,49.93%,0.18%,100.00%,0.00%
2017-11-21 00:00:00,0.00%,29.85%,20.08%,49.89%,0.18%,100.00%,0.00%
2017-11-22 00:00:00,0.00%,29.93%,20.14%,49.75%,0.18%,100.00%,0.00%
2017-11-23 00:00:00,0.00%,29.88%,20.12%,49.83%,0.18%,100.00%,0.00%
2017-11-24 00:00:00,0.00%,29.89%,20.11%,49.82%,0.18%,100.00%,0.00%
2017-11-27 00:00:00,0.00%,29.80%,20.18%,49.84%,0.18%,100.00%,0.00%
2017-11-28 00:00:00,0.00%,29.82%,20.15%,49.86%,0.18%,100.00%,0.00%
2017-11-29 00:00:00,0.00%,29.85%,20.30%,49.67%,0.18%,100.00%,0.00%
2017-11-30 00:00:00,0.00%,29.98%,19.99%,49.98%,0.05%,100.00%,0.00%
2017-12-01 00:00:00,0.00%,30.10%,20.05%,49.79%,0.05%,100.00%,0.00%
2017-12-04 00:00:00,0.00%,30.21%,20.12%,49.62%,0.05%,100.00%,0.00%
2017-12-05 00:00:00,0.00%,29.97%,20.10%,49.88%,0.05%,100.00%,0.00%
2017-12-06 00:00:00,0.00%,29.97%,20.00%,49.98%,0.05%,100.00%,0.00%
2017-12-07 00:00:00,0.00%,30.06%,20.02%,49.86%,0.05%,100.00%,0.00%
2017-12-08 00:00:00,0.00%,30.16%,20.01%,49.78%,0.05%,100.00%,0.00%
2017-12-11 00:00:00,0.00%,30.16%,20.10%,49.69%,0.05%,100.00%,0.00%
2017-12-12 00:00:00,0.00%,30.24%,20.14%,49.57%,0.05%,100.00%,0.00%
2017-12-13 00:00:00,0.00%,30.34%,20.10%,49.51%,0.05%,100.00%,0.00%
2017-12-14 00:00:00,0.00%,30.20%,20.16%,49.59%,0.05%,100.00%,0.00%
2017-12-15 00:00:00,0.00%,30.23%,20.09%,49.62%,0.05%,100.00%,0.00%
2017-12-18 00:00:00,0.00%,30.39%,20.21%,49.35%,0.05%,100.00%,0.00%
2017-12-19 00:00:00,0.00%,30.39%,20.24%,49.32%,0.05%,100.00%,0.00%
2017-12-21 00:00:00,0.00%,30.11%,20.25%,49.59%,0.05%,100.00%,0.00%
2017-12-22 00:00:00,0.00%,30.12%,20.30%,49.53%,0.05%,100.00%,0.00%
2017-12-26 00:00:00,0.00%,30.02%,20.30%,49.62%,0.05%,100.00%,0.00%
2017-12-27 00:00:00,0.00%,30.14%,20.40%,49.41%,0.05%,100.00%,0.00%
2017-12-28 00:00:00,0.00%,29.97%,19.97%,49.83%,0.22%,100.00%,0.00%
2018-01-02 00:00:00,0.00%,29.83%,19.97%,49.98%,0.22%,100.00%,0.00%
2018-01-03 00:00:00,0.00%,30.08%,20.00%,49.71%,0.22%,100.00%,0.00%
2018-01-04 00:00:00,0.00%,30.11%,20.08%,49.59%,0.22%,100.00%,0.00%
2018-01-05 00:00:00,0.00%,30.19%,20.12%,49.48%,0.22%,100.00%,0.00%
2018-01-08 00:00:00,0.00%,30.34%,20.17%,49.28%,0.22%,100.00%,0.00%
2018-01-09 00:00:00,0.00%,30.41%,20.16%,49.22%,0.22%,100.00%,0.00%
2018-01-10 00:00:00,0.00%,30.40%,20.19%,49.19%,0.22%,100.00%,0.00%
2018-01-11 00:00:00,0.00%,30.35%,20.22%,49.21%,0.22%,100.00%,0.00%
2018-01-12 00:00:00,0.00%,30.33%,20.31%,49.15%,0.22%,100.00%,0.00%
2018-01-15 00:00:00,0.00%,30.41%,20.39%,48.98%,0.22%,100.00%,0.00%
2018-01-16 00:00:00,0.00%,30.45%,20.42%,48.92%,0.22%,100.00%,0.00%
2018-01-17 00:00:00,0.00%,30.47%,20.34%,48.97%,0.22%,100.00%,0.00%
2018-01-18 00:00:00,0.00%,30.58%,20.41%,48.80%,0.22%,100.00%,0.00%
2018-01-19 00:00:00,0.00%,30.56%,20.37%,48.86%,0.22%,100.00%,0.00%
2018-01-22 00:00:00,0.00%,30.55%,20.44%,48.79%,0.21%,100.00%,0.00%
2018-01-23 00:00:00,0.00%,30.89%,20.51%,48.39%,0.21%,100.00%,0.00%
2018-01-24 00:00:00,0.00%,30.84%,20.51%,48.43%,0.21%,100.00%,0.00%
2018-01-25 00:00:00,0.00%,30.67%,20.57%,48.55%,0.21%,100.00%,0.00%
2018-01-26 00:00:00,0.00%,30.78%,20.56%,48.45%,0.21%,100.00%,0.00%
2018-01-29 00:00:00,0.00%,30.96%,20.65%,48.18%,0.21%,100.00%,0.00%
2018-01-30 00:00:00,0.00%,30.92%,20.51%,48.36%,0.21%,100.00%,0.00%
2018-01-31 00:00:00,0.00%,29.98%,20.00%,49.86%,0.16%,100.00%,0.00%
2018-02-01 00:00:00,0.00%,30.08%,20.00%,49.76%,0.16%,100.00%,0.00%
2018-02-02 00:00:00,0.00%,30.03%,19.94%,49.87%,0.16%,100.00%,0.00%
2018-02-06 00:00:00,0.00%,29.54%,18.83%,51.46%,0.17%,100.00%,0.00%
2018-02-07 00:00:00,0.00%,29.29%,19.35%,51.19%,0.17%,100.00%,0.00%
2018-02-08 00:00:00,0.00%,29.45%,19.33%,51.06%,0.17%,100.00%,0.00%
2018-02-09 00:00:00,0.00%,28.87%,19.11%,51.85%,0.17%,100.00%,0.00%
2018-02-12 00:00:00,0.00%,29.05%,19.23%,51.55%,0.17%,100.00%,0.00%
2018-02-13 00:00:00,0.00%,29.20%,19.26%,51.38%,0.17%,100.00%,0.00%
2018-02-14 00:00:00,0.00%,29.26%,19.34%,51.23%,0.17%,100.00%,0.00%
2018-02-19 00:00:00,0.00%,29.48%,19.69%,50.67%,0.17%,100.00%,0.00%
2018-02-20 00:00:00,0.00%,29.41%,19.62%,50.81%,0.17%,100.00%,0.00%
2018-02-21 00:00:00,0.00%,29.61%,19.48%,50.75%,0.17%,100.00%,0.00%
2018-02-22 00:00:00,0.00%,29.74%,19.33%,50.76%,0.17%,100.00%,0.00%
2018-02-23 00:00:00,0.00%,29.66%,19.53%,50.65%,0.16%,100.00%,0.00%
2018-02-26 00:00:00,0.00%,29.81%,19.62%,50.40%,0.16%,100.00%,0.00%
2018-02-27 00:00:00,0.00%,29.88%,19.72%,50.23%,0.16%,100.00%,0.00%
2018-02-28 00:00:00,0.00%,29.97%,20.00%,49.84%,0.19%,100.00%,0.00%
2018-03-06 00:00:00,0.00%,29.84%,19.93%,50.04%,0.19%,100.00%,0.00%
2018-03-07 00:00:00,0.00%,29.88%,19.74%,50.19%,0.19%,100.00%,0.00%
2018-03-08 00:00:00,0.00%,29.93%,19.91%,49.97%,0.19%,100.00%,0.00%
2018-03-09 00:00:00,0.00%,30.05%,19.96%,49.80%,0.19%,100.00%,0.00%
2018-03-12 00:00:00,0.00%,30.21%,20.22%,49.38%,0.19%,100.00%,0.00%
2018-03-13 00:00:00,0.00%,30.29%,20.13%,49.39%,0.19%,100.00%,0.00%
2018-03-14 00:00:00,0.00%,30.19%,20.05%,49.57%,0.19%,100.00%,0.00%
2018-03-15 00:00:00,0.00%,30.23%,19.98%,49.60%,0.19%,100.00%,0.00%
2018-03-16 00:00:00,0.00%,30.22%,19.96%,49.63%,0.19%,100.00%,0.00%
2018-03-19 00:00:00,0.00%,30.23%,19.92%,49.67%,0.19%,100.00%,0.00%
2018-03-20 00:00:00,0.00%,29.97%,19.89%,49.95%,0.19%,100.00%,0.00%
2018-03-21 00:00:00,0.00%,30.01%,19.86%,49.94%,0.19%,100.00%,0.00%
2018-03-22 00:00:00,0.00%,30.02%,19.84%,49.96%,0.19%,100.00%,0.00%
2018-03-23 00:00:00,0.00%,29.68%,19.42%,50.71%,0.19%,100.00%,0.00%
2018-03-26 00:00:00,0.00%,29.61%,19.41%,50.79%,0.19%,100.00%,0.00%
2018-03-27 00:00:00,0.00%,29.77%,19.64%,50.40%,0.19%,100.00%,0.00%
2018-03-28 00:00:00,0.00%,29.29%,19.47%,51.05%,0.19%,100.00%,0.00%
2018-03-29 00:00:00,0.00%,29.24%,19.45%,51.11%,0.19%,100.00%,0.00%
2018-03-30 00:00:00,0.00%,29.98%,19.99%,49.82%,0.21%,100.00%,0.00%
2018-04-02 00:00:00,0.00%,30.04%,19.93%,49.82%,0.21%,100.00%,0.00%
2018-04-03 00:00:00,0.00%,29.64%,19.75%,50.40%,0.22%,100.00%,0.00%
2018-04-04 00:00:00,0.00%,29.44%,19.93%,50.42%,0.22%,100.00%,0.00%
2018-04-05 00:00:00,0.00%,29.83%,20.09%,49.87%,0.21%,100.00%,0.00%
2018-04-06 00:00:00,0.00%,29.80%,19.99%,49.99%,0.21%,100.00%,0.00%
2018-04-09 00:00:00,0.00%,29.85%,19.92%,50.02%,0.21%,100.00%,0.00%
2018-04-10 00:00:00,0.00%,30.00%,20.03%,49.75%,0.21%,100.00%,0.00%
2018-04-11 00:00:00,0.00%,29.99%,19.95%,49.84%,0.21%,100.00%,0.00%
2018-04-12 00:00:00,0.00%,30.02%,19.97%,49.80%,0.21%,100.00%,0.00%
2018-04-13 00:00:00,0.00%,30.07%,20.06%,49.66%,0.21%,100.00%,0.00%
2018-04-16 00:00:00,0.00%,30.22%,20.04%,49.54%,0.21%,100.00%,0.00%
2018-04-17 00:00:00,0.00%,30.17%,20.20%,49.41%,0.21%,100.00%,0.00%
2018-04-18 00:00:00,0.00%,30.40%,20.21%,49.18%,0.21%,100.00%,0.00%
2018-04-19 00:00:00,0.00%,30.45%,20.20%,49.14%,0.21%,100.00%,0.00%
2018-04-20 00:00:00,0.00%,30.28%,20.16%,49.35%,0.21%,100.00%,0.00%
2018-04-23 00:00:00,0.00%,30.24%,20.08%,49.47%,0.21%,100.00%,0.00%
2018-04-24 00:00:00,0.00%,30.26%,20.06%,49.48%,0.21%,100.00%,0.00%
2018-04-25 00:00:00,0.00%,30.03%,19.90%,49.85%,0.21%,100.00%,0.00%
2018-04-26 00:00:00,0.00%,30.16%,19.92%,49.70%,0.21%,100.00%,0.00%
2018-04-27 00:00:00,0.00%,30.29%,20.03%,49.47%,0.21%,100.00%,0.00%
2018-04-30 00:00:00,0.00%,14.98%,14.97%,69.83%,0.22%,100.00%,0.00%
2018-05-02 00:00:00,0.00%,15.11%,14.84%,69.83%,0.22%,100.00%,0.00%
2018-05-03 00:00:00,0.00%,15.03%,14.74%,70.01%,0.22%,100.00%,0.00%
2018-05-04 00:00:00,0.00%,14.93%,14.76%,70.09%,0.22%,100.00%,0.00%
2018-05-08 00:00:00,0.00%,15.35%,14.87%,69.56%,0.21%,100.00%,0.00%
2018-05-09 00:00:00,0.00%,15.31%,14.90%,69.58%,0.21%,100.00%,0.00%
2018-05-10 00:00:00,0.00%,15.43%,15.01%,69.35%,0.21%,100.00%,0.00%
2018-05-11 00:00:00,0.00%,15.38%,15.08%,69.33%,0.21%,100.00%,0.00%
2018-05-14 00:00:00,0.00%,15.42%,15.19%,69.18%,0.21%,100.00%,0.00%
2018-05-15 00:00:00,0.00%,15.47%,15.10%,69.21%,0.21%,100.00%,0.00%
2018-05-16 00:00:00,0.00%,15.41%,15.05%,69.33%,0.21%,100.00%,0.00%
2018-05-17 00:00:00,0.00%,15.50%,15.08%,69.21%,0.21%,100.00%,0.00%
2018-05-18 00:00:00,0.00%,15.50%,15.08%,69.21%,0.21%,100.00%,0.00%
2018-05-21 00:00:00,0.00%,15.56%,15.10%,69.12%,0.21%,100.00%,0.00%
2018-05-23 00:00:00,0.00%,15.42%,15.10%,69.27%,0.21%,100.00%,0.00%
2018-05-24 00:00:00,0.00%,15.53%,15.09%,69.17%,0.21%,100.00%,0.00%
2018-05-25 00:00:00,0.00%,15.57%,15.12%,69.10%,0.21%,100.00%,0.00%
2018-05-28 00:00:00,0.00%,15.57%,15.10%,69.12%,0.21%,100.00%,0.00%
2018-05-29 00:00:00,0.00%,15.54%,15.04%,69.21%,0.21%,100.00%,0.00%
2018-05-30 00:00:00,0.00%,15.52%,14.96%,69.30%,0.21%,100.00%,0.00%
2018-05-31 00:00:00,0.00%,14.99%,14.99%,69.91%,0.10%,100.00%,0.00%
2018-06-01 00:00:00,0.00%,14.99%,14.95%,69.96%,0.10%,100.00%,0.00%
2018-06-04 00:00:00,0.00%,15.15%,15.06%,69.70%,0.10%,100.00%,0.00%
2018-06-05 00:00:00,0.00%,15.15%,15.08%,69.67%,0.10%,100.00%,0.00%
2018-06-07 00:00:00,0.00%,15.26%,15.20%,69.44%,0.10%,100.00%,0.00%
2018-06-08 00:00:00,0.00%,15.19%,15.15%,69.55%,0.10%,100.00%,0.00%
2018-06-11 00:00:00,0.00%,15.22%,15.22%,69.47%,0.10%,100.00%,0.00%
2018-06-12 00:00:00,0.00%,15.28%,15.25%,69.37%,0.10%,100.00%,0.00%
2018-06-14 00:00:00,0.00%,15.39%,15.18%,69.34%,0.10%,100.00%,0.00%
2018-06-15 00:00:00,0.00%,15.70%,15.16%,69.04%,0.10%,100.00%,0.00%
2018-06-18 00:00:00,0.00%,15.70%,15.11%,69.10%,0.10%,100.00%,0.00%
2018-06-19 00:00:00,0.00%,15.64%,15.00%,69.26%,0.10%,100.00%,0.00%
2018-06-20 00:00:00,0.00%,15.77%,15.09%,69.05%,0.10%,100.00%,0.00%
2018-06-21 00:00:00,0.00%,15.95%,15.07%,68.88%,0.10%,100.00%,0.00%
2018-06-22 00:00:00,0.00%,15.77%,15.03%,69.11%,0.10%,100.00%,0.00%
2018-06-25 00:00:00,0.00%,15.76%,14.97%,69.17%,0.10%,100.00%,0.00%
2018-06-26 00:00:00,0.00%,15.46%,14.93%,69.51%,0.10%,100.00%,0.00%
2018-06-27 00:00:00,0.00%,15.59%,14.88%,69.43%,0.10%,100.00%,0.00%
2018-06-28 00:00:00,0.00%,15.47%,14.84%,69.59%,0.10%,100.00%,0.00%
2018-06-29 00:00:00,0.00%,14.98%,14.99%,69.97%,0.06%,100.00%,0.00%
2018-07-02 00:00:00,0.00%,14.94%,14.90%,70.09%,0.06%,100.00%,0.00%
2018-07-03 00:00:00,0.00%,15.12%,14.98%,69.84%,0.06%,100.00%,0.00%
2018-07-04 00:00:00,0.00%,14.93%,14.95%,70.06%,0.06%,100.00%,0.00%
2018-07-05 00:00:00,0.00%,14.96%,14.94%,70.04%,0.06%,100.00%,0.00%
2018-07-06 00:00:00,0.00%,15.09%,15.04%,69.81%,0.06%,100.00%,0.00%
2018-07-09 00:00:00,0.00%,15.17%,15.16%,69.61%,0.06%,100.00%,0.00%
2018-07-10 00:00:00,0.00%,15.38%,15.19%,69.37%,0.06%,100.00%,0.00%
2018-07-11 00:00:00,0.00%,15.28%,15.14%,69.52%,0.06%,100.00%,0.00%
2018-07-12 00:00:00,0.00%,15.43%,15.16%,69.35%,0.06%,100.00%,0.00%
2018-07-13 00:00:00,0.00%,15.61%,15.23%,69.11%,0.06%,100.00%,0.00%
2018-07-16 00:00:00,0.00%,15.65%,15.21%,69.08%,0.06%,100.00%,0.00%
2018-07-17 00:00:00,0.00%,15.46%,15.20%,69.28%,0.06%,100.00%,0.00%
2018-07-18 00:00:00,0.00%,15.72%,15.23%,68.99%,0.06%,100.00%,0.00%
2018-07-19 00:00:00,0.00%,15.71%,15.24%,69.00%,0.06%,100.00%,0.00%
2018-07-20 00:00:00,0.00%,15.69%,15.19%,69.06%,0.06%,100.00%,0.00%
2018-07-23 00:00:00,0.00%,15.58%,15.20%,69.16%,0.06%,100.00%,0.00%
2018-07-24 00:00:00,0.00%,15.71%,15.26%,68.97%,0.06%,100.00%,0.00%
2018-07-25 00:00:00,0.00%,15.64%,15.26%,69.04%,0.06%,100.00%,0.00%
2018-07-26 00:00:00,0.00%,15.61%,15.36%,68.97%,0.06%,100.00%,0.00%
2018-07-27 00:00:00,0.00%,15.45%,15.42%,69.07%,0.06%,100.00%,0.00%
2018-07-30 00:00:00,0.00%,15.33%,15.27%,69.34%,0.06%,100.00%,0.00%
2018-07-31 00:00:00,0.00%,14.97%,15.00%,69.95%,0.07%,100.00%,0.00%
2018-08-01 00:00:00,0.00%,15.16%,15.03%,69.74%,0.07%,100.00%,0.00%
2018-08-02 00:00:00,0.00%,15.16%,14.96%,69.81%,0.07%,100.00%,0.00%
2018-08-03 00:00:00,0.00%,15.41%,15.02%,69.50%,0.07%,100.00%,0.00%
2018-08-06 00:00:00,0.00%,15.32%,15.09%,69.52%,0.07%,100.00%,0.00%
2018-08-07 00:00:00,0.00%,15.49%,15.11%,69.33%,0.07%,100.00%,0.00%
2018-08-08 00:00:00,0.00%,15.43%,15.14%,69.36%,0.07%,100.00%,0.00%
2018-08-09 00:00:00,0.00%,15.43%,15.13%,69.36%,0.07%,100.00%,0.00%
2018-08-10 00:00:00,0.00%,15.50%,15.05%,69.38%,0.07%,100.00%,0.00%
2018-08-13 00:00:00,0.00%,15.48%,15.00%,69.45%,0.07%,100.00%,0.00%
2018-08-14 00:00:00,0.00%,15.51%,15.02%,69.40%,0.07%,100.00%,0.00%
2018-08-16 00:00:00,0.00%,15.44%,15.00%,69.49%,0.07%,100.00%,0.00%
2018-08-17 00:00:00,0.00%,15.35%,15.08%,69.49%,0.07%,100.00%,0.00%
2018-08-20 00:00:00,0.00%,15.35%,15.12%,69.46%,0.07%,100.00%,0.00%
2018-08-21 00:00:00,0.00%,15.27%,15.15%,69.51%,0.07%,100.00%,0.00%
2018-08-22 00:00:00,0.00%,15.28%,15.11%,69.54%,0.07%,100.00%,0.00%
2018-08-23 00:00:00,0.00%,15.38%,15.14%,69.41%,0.07%,100.00%,0.00%
2018-08-24 00:00:00,0.00%,15.36%,15.14%,69.43%,0.07%,100.00%,0.00%
2018-08-27 00:00:00,0.00%,15.43%,15.22%,69.28%,0.07%,100.00%,0.00%
2018-08-28 00:00:00,0.00%,15.44%,15.29%,69.20%,0.07%,100.00%,0.00%
2018-08-29 00:00:00,0.00%,15.50%,15.29%,69.14%,0.07%,100.00%,0.00%
2018-08-30 00:00:00,0.00%,15.57%,15.32%,69.04%,0.07%,100.00%,0.00%
2018-08-31 00:00:00,0.00%,14.99%,14.98%,69.89%,0.15%,100.00%,0.00%
2018-09-03 00:00:00,0.00%,14.98%,14.98%,69.89%,0.15%,100.00%,0.00%
2018-09-04 00:00:00,0.00%,15.05%,14.99%,69.81%,0.15%,100.00%,0.00%
2018-09-05 00:00:00,0.00%,15.02%,14.92%,69.91%,0.15%,100.00%,0.00%
2018-09-06 00:00:00,0.00%,14.90%,14.89%,70.06%,0.15%,100.00%,0.00%
2018-09-07 00:00:00,0.00%,14.79%,14.91%,70.15%,0.15%,100.00%,0.00%
2018-09-10 00:00:00,0.00%,14.85%,14.90%,70.11%,0.15%,100.00%,0.00%
2018-09-11 00:00:00,0.00%,14.86%,14.93%,70.06%,0.15%,100.00%,0.00%
2018-09-12 00:00:00,0.00%,14.95%,14.94%,69.96%,0.15%,100.00%,0.00%
2018-09-13 00:00:00,0.00%,14.85%,14.94%,70.06%,0.15%,100.00%,0.00%
2018-09-14 00:00:00,0.00%,14.95%,15.02%,69.89%,0.15%,100.00%,0.00%
2018-09-17 00:00:00,0.00%,14.91%,14.99%,69.95%,0.15%,100.00%,0.00%
2018-09-18 00:00:00,0.00%,14.80%,14.97%,70.08%,0.15%,100.00%,0.00%
2018-09-19 00:00:00,0.00%,14.86%,15.03%,69.96%,0.15%,100.00%,0.00%
2018-09-20 00:00:00,0.00%,14.84%,15.04%,69.97%,0.15%,100.00%,0.00%
2018-09-21 00:00:00,0.00%,14.93%,15.13%,69.79%,0.15%,100.00%,0.00%
2018-09-27 00:00:00,0.00%,14.90%,15.01%,69.94%,0.15%,100.00%,0.00%
2018-09-28 00:00:00,0.00%,14.99%,14.99%,69.84%,0.18%,100.00%,0.00%
2018-10-01 00:00:00,0.00%,15.05%,15.07%,69.70%,0.18%,100.00%,0.00%
2018-10-02 00:00:00,0.00%,15.05%,15.02%,69.75%,0.18%,100.00%,0.00%
2018-10-04 00:00:00,0.00%,15.11%,14.97%,69.73%,0.18%,100.00%,0.00%
2018-10-05 00:00:00,0.00%,14.98%,14.99%,69.85%,0.18%,100.00%,0.00%
2018-10-08 00:00:00,0.00%,14.84%,14.93%,70.04%,0.18%,100.00%,0.00%
2018-10-10 00:00:00,0.00%,14.80%,14.90%,70.11%,0.18%,100.00%,0.00%
2018-10-11 00:00:00,0.00%,14.35%,14.43%,71.03%,0.19%,100.00%,0.00%
2018-10-12 00:00:00,0.00%,14.33%,14.51%,70.97%,0.19%,100.00%,0.00%
2018-10-15 00:00:00,0.00%,14.40%,14.39%,71.02%,0.19%,100.00%,0.00%
2018-10-16 00:00:00,0.00%,14.32%,14.42%,71.07%,0.19%,100.00%,0.00%
2018-10-17 00:00:00,0.00%,14.62%,14.63%,70.56%,0.18%,100.00%,0.00%
2018-10-18 00:00:00,0.00%,14.59%,14.55%,70.68%,0.18%,100.00%,0.00%
2018-10-19 00:00:00,0.00%,14.52%,14.49%,70.81%,0.18%,100.00%,0.00%
2018-10-22 00:00:00,0.00%,14.43%,14.47%,70.91%,0.19%,100.00%,0.00%
2018-10-23 00:00:00,0.00%,14.41%,14.26%,71.15%,0.19%,100.00%,0.00%
2018-10-24 00:00:00,0.00%,14.42%,14.31%,71.08%,0.19%,100.00%,0.00%
2018-10-25 00:00:00,0.00%,14.07%,14.09%,71.66%,0.19%,100.00%,0.00%
2018-10-26 00:00:00,0.00%,14.19%,14.06%,71.56%,0.19%,100.00%,0.00%
2018-10-29 00:00:00,0.00%,14.11%,14.02%,71.68%,0.19%,100.00%,0.00%
2018-10-30 00:00:00,0.00%,13.96%,14.02%,71.84%,0.19%,100.00%,0.00%
2018-10-31 00:00:00,21.00%,34.98%,14.00%,29.88%,0.14%,100.00%,21.00%
2018-11-01 00:00:00,20.96%,35.07%,14.03%,29.80%,0.13%,100.00%,20.96%
2018-11-02 00:00:00,21.76%,34.97%,13.99%,29.15%,0.13%,100.00%,21.76%
2018-11-05 00:00:00,21.98%,34.64%,13.88%,29.37%,0.13%,100.00%,21.98%
2018-11-06 00:00:00,21.90%,34.63%,13.98%,29.36%,0.13%,100.00%,21.90%
2018-11-07 00:00:00,21.56%,34.79%,14.11%,29.41%,0.13%,100.00%,21.56%
2018-11-08 00:00:00,21.61%,35.01%,14.19%,29.06%,0.13%,100.00%,21.61%
2018-11-09 00:00:00,21.30%,35.09%,14.24%,29.23%,0.13%,100.00%,21.30%
2018-11-12 00:00:00,20.71%,35.42%,14.28%,29.46%,0.13%,100.00%,20.71%
2018-11-13 00:00:00,20.99%,34.99%,14.15%,29.74%,0.13%,100.00%,20.99%
2018-11-14 00:00:00,21.03%,34.92%,14.11%,29.80%,0.13%,100.00%,21.03%
2018-11-15 00:00:00,21.53%,34.78%,13.92%,29.63%,0.13%,100.00%,21.53%
2018-11-16 00:00:00,21.70%,34.69%,13.96%,29.51%,0.13%,100.00%,21.70%
2018-11-19 00:00:00,22.15%,34.50%,13.90%,29.33%,0.13%,100.00%,22.15%
2018-11-20 00:00:00,21.92%,34.23%,13.91%,29.81%,0.13%,100.00%,21.92%
2018-11-21 00:00:00,22.22%,34.10%,13.72%,29.83%,0.13%,100.00%,22.22%
2018-11-22 00:00:00,22.17%,34.05%,13.76%,29.88%,0.14%,100.00%,22.17%
2018-11-23 00:00:00,21.97%,34.08%,13.75%,30.06%,0.14%,100.00%,21.97%
2018-11-26 00:00:00,22.27%,34.13%,13.67%,29.80%,0.13%,100.00%,22.27%
2018-11-27 00:00:00,22.26%,34.29%,13.69%,29.62%,0.13%,100.00%,22.26%
2018-11-28 00:00:00,22.19%,34.35%,13.79%,29.54%,0.13%,100.00%,22.19%
2018-11-29 00:00:00,21.77%,34.67%,13.96%,29.47%,0.13%,100.00%,21.77%
2018-11-30 00:00:00,21.00%,34.97%,13.98%,29.87%,0.19%,100.00%,21.00%
2018-12-03 00:00:00,21.30%,35.15%,14.05%,29.33%,0.18%,100.00%,21.30%
2018-12-04 00:00:00,21.33%,34.83%,14.02%,29.63%,0.18%,100.00%,21.33%
2018-12-05 00:00:00,21.28%,34.84%,13.80%,29.90%,0.19%,100.00%,21.28%
2018-12-06 00:00:00,20.81%,34.81%,13.82%,30.37%,0.19%,100.00%,20.81%
2018-12-07 00:00:00,20.99%,34.89%,13.80%,30.14%,0.19%,100.00%,20.99%
2018-12-10 00:00:00,20.87%,34.71%,13.65%,30.57%,0.19%,100.00%,20.87%
2018-12-11 00:00:00,20.54%,35.00%,13.74%,30.53%,0.19%,100.00%,20.54%
2018-12-12 00:00:00,20.87%,35.04%,13.72%,30.19%,0.19%,100.00%,20.87%
2018-12-13 00:00:00,20.89%,35.06%,13.72%,30.14%,0.19%,100.00%,20.89%
2018-12-14 00:00:00,20.53%,35.10%,13.68%,30.50%,0.19%,100.00%,20.53%
2018-12-17 00:00:00,20.50%,35.06%,13.65%,30.60%,0.19%,100.00%,20.50%
2018-12-18 00:00:00,20.57%,34.80%,13.49%,30.94%,0.19%,100.00%,20.57%
2018-12-19 00:00:00,20.98%,34.72%,13.38%,30.72%,0.19%,100.00%,20.98%
2018-12-20 00:00:00,21.15%,34.26%,13.37%,31.03%,0.19%,100.00%,21.15%
2018-12-21 00:00:00,21.45%,34.05%,13.17%,31.12%,0.19%,100.00%,21.45%
2018-12-24 00:00:00,21.53%,33.96%,12.98%,31.34%,0.19%,100.00%,21.53%
2018-12-26 00:00:00,22.02%,33.46%,12.65%,31.67%,0.20%,100.00%,22.02%
2018-12-27 00:00:00,21.66%,33.99%,13.14%,31.01%,0.19%,100.00%,21.66%
2018-12-28 00:00:00,20.99%,34.97%,13.99%,29.90%,0.14%,100.00%,20.99%
2019-01-02 00:00:00,20.63%,35.10%,14.04%,30.09%,0.14%,100.00%,20.63%
2019-01-03 00:00:00,20.35%,35.09%,14.05%,30.36%,0.14%,100.00%,20.35%
2019-01-04 00:00:00,20.61%,35.06%,13.99%,30.19%,0.14%,100.00%,20.61%
2019-01-07 00:00:00,20.46%,35.44%,14.19%,29.77%,0.14%,100.00%,20.46%
2019-01-09 00:00:00,20.32%,35.81%,14.28%,29.46%,0.14%,100.00%,20.32%
2019-01-10 00:00:00,20.45%,35.65%,14.24%,29.52%,0.14%,100.00%,20.45%
2019-01-11 00:00:00,20.40%,35.72%,14.32%,29.42%,0.14%,100.00%,20.40%
2019-01-14 00:00:00,20.24%,35.70%,14.30%,29.62%,0.14%,100.00%,20.24%
2019-01-15 00:00:00,20.29%,35.87%,14.33%,29.37%,0.14%,100.00%,20.29%
2019-01-16 00:00:00,20.19%,36.04%,14.36%,29.27%,0.14%,100.00%,20.19%
2019-01-17 00:00:00,19.94%,36.18%,14.37%,29.38%,0.14%,100.00%,19.94%
