Date,069500.KS mkt val,114260.KS mkt val,133690.KS mkt val,143850.KS mkt val,153130.KS mkt val,157450.KS mkt val,229200.KS mkt val,cash_rem,port_val,월별수익률,누적수익률
2015-10-01,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0
2015-10-30,538.2440882292572,0.0,0.0,0.0,0.0,0.0,538.2440882292572,0.0,1076.4881764585143,0.07648817645851436,0.07648817645851436
2015-11-30,540.4347857560372,0.0,0.0,0.0,0.0,0.0,540.4347857560372,0.0,1080.8695715120743,0.004070081910211076,0.08086957151207441
2015-12-30,539.6962356437808,0.0,0.0,0.0,0.0,0.0,539.6962356437808,0.0,1079.3924712875616,-0.0013665850750579356,0.07939247128756155
2016-01-29,537.0991152433202,0.0,0.0,0.0,0.0,0.0,537.0991152433202,0.0,1074.1982304866403,-0.00481218920743931,0.07419823048664043
2016-02-29,521.7240200559052,0.0,0.0,0.0,0.0,0.0,521.7240200559052,0.0,1043.4480401118103,-0.028626178578696204,0.04344804011181025
2016-03-31,540.6434939136427,0.0,0.0,0.0,0.0,0.0,540.6434939136427,0.0,1081.2869878272854,0.03626337513789424,0.0812869878272855
2016-04-29,0.0,106.38082816599473,372.3328985809816,372.3328985809816,106.38082816599473,106.38082816599473,0.0,2.2737367544323206e-13,1063.8082816599474,-0.01616472441091643,0.06380828165994745
2016-05-31,0.0,110.28449614551552,385.9957365093043,385.9957365093043,110.28449614551552,110.28449614551552,0.0,0.0,1102.8449614551553,0.036695220810178064,0.1028449614551552
2016-06-30,0.0,107.1045295836111,374.8658535426389,374.8658535426389,107.1045295836111,107.1045295836111,0.0,0.0,1071.045295836111,-0.02883421217891402,0.07104529583611119
2016-07-29,0.0,110.76938146859062,387.6928351400672,387.6928351400672,110.76938146859062,110.76938146859062,0.0,0.0,1107.6938146859063,0.034217524685718814,0.10769381468590633
2016-08-31,0.0,111.52151615830921,390.3253065540822,390.3253065540822,111.52151615830921,111.52151615830921,0.0,2.2737367544323206e-13,1115.2151615830921,0.006790095599945589,0.11521516158309208
2016-09-30,0.0,110.66979146995203,387.34427014483214,387.34427014483214,110.66979146995203,110.66979146995203,0.0,0.0,1106.6979146995204,-0.007637312670212615,0.10669791469952039
2016-10-31,448.7941303587476,0.0,0.0,0.0,0.0,0.0,673.1911955381214,0.0,1121.985325896869,0.013813535739334304,0.12198532589686906
2016-11-30,434.47217172757337,0.0,0.0,0.0,0.0,0.0,651.70825759136,0.0,1086.1804293189334,-0.03191208989236516,0.08618042931893344
2016-12-29,453.88127594775165,0.0,0.0,0.0,0.0,0.0,680.8219139216274,0.0,1134.703189869379,0.044672836336105526,0.1347031898693789
