Date,114260.KS mkt val,153130.KS mkt val,157450.KS mkt val,229200.KS mkt val,278530.KS mkt val,379800.KS mkt val,379810.KS mkt val,cash_rem,port_val,월별수익률,누적수익률
2021-04-09,233.33333333333331,233.33333333333331,233.33333333333331,180.0,120.0,0.0,0.0,0.0,1000.0,0.0,0.0
2021-04-30,231.7222464508242,231.7222464508242,231.7222464508242,0.0,0.0,148.96430128981555,148.96430128981555,0.0,993.0953419321038,-0.006904658067896197,-0.006904658067896197
2021-05-31,231.24747113490676,231.24747113490676,231.24747113490676,0.0,0.0,148.6590885867258,148.6590885867258,0.0,991.060590578172,-0.0020488982960821245,-0.008939409421828026
2021-06-30,235.0305178135378,235.0305178135378,235.0305178135378,0.0,0.0,151.09104716584574,151.09104716584574,1.1368683772161603e-13,1007.273647772305,0.016359299671753202,0.007273647772304992
2021-07-30,238.2232780594751,238.2232780594751,238.2232780594751,0.0,0.0,153.14353589537686,153.14353589537686,0.0,1020.956905969179,0.013584449694614698,0.020956905969178985
2021-08-31,242.2809192821696,242.2809192821696,242.2809192821696,0.0,0.0,155.7520195385376,155.7520195385376,2.2737367544323206e-13,1038.3467969235842,0.017032933371362136,0.038346796923584225
2021-09-30,240.3801371827707,240.3801371827707,240.3801371827707,0.0,0.0,154.53008818892405,154.53008818892405,0.0,1030.2005879261603,-0.007845364401912192,0.030200587926160427
2021-10-29,242.12339413652842,242.12339413652842,242.12339413652842,155.65075337348256,155.65075337348256,0.0,0.0,0.0,1037.6716891565504,0.007252084029023775,0.0376716891565505
2021-11-30,241.58822325829408,241.58822325829408,241.58822325829408,155.30671495176048,155.30671495176048,0.0,0.0,0.0,1035.3780996784033,-0.0022103228816153786,0.03537809967840322
2021-12-30,245.8226687615812,245.8226687615812,245.8226687615812,158.02885848958795,158.02885848958795,0.0,0.0,0.0,1053.5257232639196,0.017527532783582433,0.05352572326391969
2022-01-28,235.3777528150261,235.3777528150261,235.3777528150261,151.3142696668025,151.3142696668025,0.0,0.0,0.0,1008.7617977786833,-0.04248963693696395,0.008761797778683356
2022-02-28,236.06302040726462,236.06302040726462,236.06302040726462,151.75479883324155,151.75479883324155,0.0,0.0,0.0,1011.698658888277,0.0029113524283539416,0.011698658888277036
2022-03-31,238.12587741885034,238.12587741885034,238.12587741885034,153.08092119783237,153.08092119783237,0.0,0.0,1.1368683772161603e-13,1020.5394746522159,0.008738586026844963,0.02053947465221584
2022-04-29,234.830182924727,234.830182924727,234.830182924727,0.0,0.0,150.96226045161023,150.96226045161023,0.0,1006.4150696774016,-0.013840135855232472,0.006415069677401464
2022-05-31,231.4195130032643,231.4195130032643,231.4195130032643,0.0,0.0,148.76968693066993,148.76968693066993,2.2737367544323206e-13,991.7979128711329,-0.014523984434130277,-0.008202087128867053
2022-06-30,227.43693420789683,227.43693420789683,227.43693420789683,0.0,0.0,146.20945770507655,146.20945770507655,-1.1368683772161603e-13,974.7297180338436,-0.01720934740412894,-0.025270281966156438
2022-07-29,235.597746581188,235.597746581188,235.597746581188,0.0,0.0,151.45569423076373,151.45569423076373,1.1368683772161603e-13,1009.7046282050916,0.03588164957337803,0.009704628205091659
2022-08-31,234.88742402653074,234.88742402653074,234.88742402653074,0.0,0.0,150.99905830276975,150.99905830276975,1.1368683772161603e-13,1006.6603886851318,-0.0030149802575148987,0.006660388685131746
2022-09-30,232.22095919851765,232.22095919851765,232.22095919851765,0.0,0.0,149.28490234190423,149.28490234190423,1.1368683772161603e-13,995.2326822793615,-0.011352097027177988,-0.004767317720638542
2022-10-31,235.39934522637492,235.39934522637492,235.39934522637492,181.5937806032035,121.06252040213568,0.0,0.0,0.0,1008.854336684464,0.013686904226160479,0.008854336684464004
2022-11-30,240.04031779318245,240.04031779318245,240.04031779318245,185.17395944045506,123.44930629363671,0.0,0.0,0.0,1028.7442191136392,0.019715316380105152,0.028744219113639335
2022-12-29,235.09561309088525,235.09561309088525,235.09561309088525,181.35947295582577,120.90631530388386,0.0,0.0,1.1368683772161603e-13,1007.5526275323655,-0.020599475737061557,0.007552627532365408
2023-01-31,241.43969448503552,241.43969448503552,241.43969448503552,186.2534786027417,124.16898573516113,0.0,0.0,0.0,1034.7415477930094,0.026985111762581893,0.03474154779300953
2023-02-28,245.87808648458451,245.87808648458451,245.87808648458451,189.6773810023938,126.45158733492919,0.0,0.0,0.0,1053.7632277910766,0.01838302524783919,0.05376322779107667
2023-03-31,252.73120482700534,252.73120482700534,252.73120482700534,194.96407229511843,129.9760481967456,0.0,0.0,0.0,1083.1337349728801,0.027872017553099315,0.08313373497288001
2023-04-28,254.9434531109536,254.9434531109536,254.9434531109536,0.0,0.0,163.89221985704162,163.89221985704162,2.2737367544323206e-13,1092.6147990469442,0.008753364213424097,0.09261479904694414
2023-05-31,258.37468146942643,258.37468146942643,258.37468146942643,0.0,0.0,166.09800951605985,166.09800951605985,0.0,1107.320063440399,0.013458782002844671,0.10732006344039902
2023-06-30,261.80219937517563,261.80219937517563,261.80219937517563,0.0,0.0,168.30141388404147,168.30141388404147,0.0,1122.00942589361,0.013265687977847662,0.12200942589360997
2023-07-28,262.6733511355238,262.6733511355238,262.6733511355238,0.0,0.0,168.8614400156939,168.8614400156939,0.0,1125.7429334379592,0.0033275188765689023,0.12574293343795917
2023-08-31,265.60393414456905,265.60393414456905,265.60393414456905,0.0,0.0,170.7453862357944,170.7453862357944,2.2737367544323206e-13,1138.302574905296,0.01115675799001492,0.13830257490529596
