Date,114260.KS mkt val,153130.KS mkt val,157450.KS mkt val,229200.KS mkt val,278530.KS mkt val,379800.KS mkt val,379810.KS mkt val,cash_rem,port_val
2021-04-09,10.00%,10.00%,10.00%,42.00%,28.00%,0.00%,0.00%,0.00%,100.00%
2021-04-12,9.97%,9.96%,9.96%,42.20%,27.90%,0.00%,0.00%,0.00%,100.00%
2021-04-13,9.87%,9.86%,9.86%,42.54%,27.87%,0.00%,0.00%,0.00%,100.00%
2021-04-14,9.85%,9.83%,9.83%,42.47%,28.01%,0.00%,0.00%,0.00%,100.00%
2021-04-15,9.84%,9.83%,9.83%,42.42%,28.08%,0.00%,0.00%,0.00%,100.00%
2021-04-16,9.81%,9.80%,9.80%,42.63%,27.96%,0.00%,0.00%,0.00%,100.00%
2021-04-19,9.77%,9.76%,9.76%,42.88%,27.83%,0.00%,0.00%,0.00%,100.00%
2021-04-20,9.77%,9.76%,9.76%,42.75%,27.95%,0.00%,0.00%,0.00%,100.00%
2021-04-21,9.88%,9.86%,9.86%,42.60%,27.80%,0.00%,0.00%,0.00%,100.00%
2021-04-22,9.87%,9.85%,9.85%,42.64%,27.80%,0.00%,0.00%,0.00%,100.00%
2021-04-23,9.86%,9.85%,9.85%,42.64%,27.80%,0.00%,0.00%,0.00%,100.00%
2021-04-26,9.83%,9.82%,9.82%,42.60%,27.93%,0.00%,0.00%,0.00%,100.00%
2021-04-27,9.88%,9.87%,9.87%,42.23%,28.15%,0.00%,0.00%,0.00%,100.00%
2021-04-28,10.04%,10.03%,10.03%,41.61%,28.30%,0.00%,0.00%,0.00%,100.00%
2021-04-29,10.15%,10.14%,10.14%,41.11%,28.46%,0.00%,0.00%,0.00%,100.00%
2021-04-30,10.00%,10.00%,10.00%,0.00%,0.00%,35.00%,35.00%,0.00%,100.00%
2021-05-03,9.95%,9.95%,9.95%,0.00%,0.00%,35.09%,35.07%,0.00%,100.00%
2021-05-04,9.98%,9.99%,9.99%,0.00%,0.00%,35.15%,34.89%,0.00%,100.00%
2021-05-06,10.04%,10.04%,10.04%,0.00%,0.00%,35.32%,34.56%,0.00%,100.00%
2021-05-07,10.01%,10.01%,10.01%,0.00%,0.00%,35.38%,34.60%,0.00%,100.00%
2021-05-10,10.01%,10.00%,10.00%,0.00%,0.00%,35.42%,34.56%,0.00%,100.00%
2021-05-11,10.14%,10.14%,10.14%,0.00%,0.00%,35.51%,34.07%,0.00%,100.00%
2021-05-12,10.13%,10.13%,10.13%,0.00%,0.00%,35.36%,34.24%,0.00%,100.00%
2021-05-13,10.22%,10.22%,10.22%,0.00%,0.00%,35.25%,34.09%,0.00%,100.00%
2021-05-14,10.14%,10.14%,10.14%,0.00%,0.00%,35.44%,34.15%,0.00%,100.00%
2021-05-17,10.02%,10.02%,10.01%,0.00%,0.00%,35.52%,34.42%,0.00%,100.00%
2021-05-18,10.04%,10.03%,10.03%,0.00%,0.00%,35.53%,34.38%,0.00%,100.00%
2021-05-20,10.13%,10.12%,10.12%,0.00%,0.00%,35.35%,34.29%,0.00%,100.00%
2021-05-21,10.05%,10.03%,10.03%,0.00%,0.00%,35.33%,34.56%,0.00%,100.00%
