Date,069500.KS mkt val,114260.KS mkt val,133690.KS mkt val,143850.KS mkt val,153130.KS mkt val,157450.KS mkt val,229200.KS mkt val,cash_rem,port_val,월별수익률,누적수익률
2015-10-01,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0
2015-10-30,538.2440882292572,0.0,0.0,0.0,0.0,0.0,538.2440882292572,0.0,1076.4881764585143,0.07648817645851436,0.07648817645851436
2015-11-30,540.4347857560372,0.0,0.0,0.0,0.0,0.0,540.4347857560372,0.0,1080.8695715120743,0.004070081910211076,0.08086957151207441
2015-12-30,539.6962356437808,0.0,0.0,0.0,0.0,0.0,539.6962356437808,0.0,1079.3924712875616,-0.0013665850750579356,0.07939247128756155
2016-01-29,537.0991152433202,0.0,0.0,0.0,0.0,0.0,537.0991152433202,0.0,1074.1982304866403,-0.00481218920743931,0.07419823048664043
2016-02-29,521.7240200559052,0.0,0.0,0.0,0.0,0.0,521.7240200559052,0.0,1043.4480401118103,-0.028626178578696204,0.04344804011181025
2016-03-31,540.6434939136427,0.0,0.0,0.0,0.0,0.0,540.6434939136427,0.0,1081.2869878272854,0.03626337513789424,0.0812869878272855
2016-04-29,0.0,0.0,531.9041408299737,531.9041408299737,0.0,0.0,0.0,0.0,1063.8082816599474,-0.01616472441091643,0.06380828165994745
2016-05-31,0.0,0.0,559.6122031485314,559.6122031485314,0.0,0.0,0.0,0.0,1119.2244062970628,0.052092210215402,0.11922440629706288
2016-06-30,0.0,0.0,536.0729492238509,536.0729492238509,0.0,0.0,0.0,0.0,1072.1458984477017,-0.0420635107530577,0.0721458984477017
2016-07-29,0.0,0.0,561.965039814241,561.965039814241,0.0,0.0,0.0,0.0,1123.930079628482,0.048299565624189356,0.1239300796284819
2016-08-31,0.0,0.0,567.4241977658191,567.4241977658191,0.0,0.0,0.0,0.0,1134.8483955316383,0.009714408485949066,0.1348483955316382
2016-09-30,0.0,0.0,561.0984299295268,561.0984299295268,0.0,0.0,0.0,0.0,1122.1968598590536,-0.011148216556853718,0.12219685985905349
2016-10-31,457.9620783201201,0.0,0.0,0.0,0.0,0.0,686.94311748018,0.0,1144.9051958003001,0.020235608166020658,0.14490519580030004
2016-11-30,443.34755130947417,0.0,0.0,0.0,0.0,0.0,665.0213269642112,0.0,1108.3688782736854,-0.031912089892364826,0.10836887827368535
2016-12-29,463.15314390913545,0.0,0.0,0.0,0.0,0.0,694.7297158637032,0.0,1157.8828597728386,0.044672836336105526,0.15788285977283856
2017-01-31,461.73315515576627,0.0,0.0,0.0,0.0,0.0,692.5997327336494,0.0,1154.3328878894156,-0.0030659162569515175,0.15433288788941568
2017-02-28,465.9276778379909,0.0,0.0,0.0,0.0,0.0,698.8915167569863,0.0,1164.8191945949773,0.009084300391661637,0.1648191945949773
