Date,6,5,3,2,1,total,위험자산비중,rebal
2021-04-09,16.67%,33.33%,0.00%,50.00%,0.00%,100.00%,50.00%,True
2021-04-12,16.62%,33.26%,0.00%,50.12%,0.00%,100.00%,50.12%,False
2021-04-13,16.50%,33.02%,0.00%,50.48%,0.00%,100.00%,50.48%,False
2021-04-14,16.46%,32.96%,0.00%,50.58%,0.00%,100.00%,50.58%,False
2021-04-15,16.47%,32.95%,0.00%,50.59%,0.00%,100.00%,50.59%,False
2021-04-16,16.43%,32.87%,0.00%,50.70%,0.00%,100.00%,50.70%,False
2021-04-19,16.37%,32.77%,0.00%,50.86%,0.00%,100.00%,50.86%,False
2021-04-20,16.38%,32.78%,0.00%,50.84%,0.00%,100.00%,50.84%,False
2021-04-21,16.50%,33.02%,0.00%,50.48%,0.00%,100.00%,50.48%,False
2021-04-22,16.48%,33.00%,0.00%,50.52%,0.00%,100.00%,50.52%,False
2021-04-23,16.48%,32.99%,0.00%,50.53%,0.00%,100.00%,50.53%,False
2021-04-26,16.45%,32.91%,0.00%,50.64%,0.00%,100.00%,50.64%,False
2021-04-27,16.51%,33.04%,0.00%,50.45%,0.00%,100.00%,50.45%,False
2021-04-28,16.70%,33.41%,0.00%,49.89%,0.00%,100.00%,49.89%,False
2021-04-29,16.83%,33.68%,0.00%,49.49%,0.00%,100.00%,49.49%,False
2021-04-30,16.67%,33.33%,0.00%,0.00%,50.00%,100.00%,50.00%,True
2021-05-03,16.60%,33.21%,0.00%,0.00%,50.19%,100.00%,50.19%,False
2021-05-04,16.66%,33.30%,0.00%,0.00%,50.04%,100.00%,50.04%,False
2021-05-06,16.71%,33.43%,0.00%,0.00%,49.86%,100.00%,49.86%,False
2021-05-07,16.67%,33.35%,0.00%,0.00%,49.98%,100.00%,49.98%,False
2021-05-10,16.67%,33.35%,0.00%,0.00%,49.98%,100.00%,49.98%,False
2021-05-11,16.83%,33.67%,0.00%,0.00%,49.50%,100.00%,49.50%,False
2021-05-12,16.82%,33.65%,0.00%,0.00%,49.53%,100.00%,49.53%,False
2021-05-13,16.93%,33.86%,0.00%,0.00%,49.22%,100.00%,49.22%,False
2021-05-14,16.83%,33.66%,0.00%,0.00%,49.51%,100.00%,49.51%,False
2021-05-17,16.69%,33.38%,0.00%,0.00%,49.94%,100.00%,49.94%,False
2021-05-18,16.70%,33.41%,0.00%,0.00%,49.89%,100.00%,49.89%,False
2021-05-20,16.81%,33.62%,0.00%,0.00%,49.57%,100.00%,49.57%,False
2021-05-21,16.70%,33.43%,0.00%,0.00%,49.87%,100.00%,49.87%,False
2021-05-24,16.72%,33.46%,0.00%,0.00%,49.82%,100.00%,49.82%,False
2021-05-25,16.63%,33.27%,0.00%,0.00%,50.11%,100.00%,50.11%,False
2021-05-26,16.69%,33.38%,0.00%,0.00%,49.93%,100.00%,49.93%,False
2021-05-27,16.70%,33.41%,0.00%,0.00%,49.89%,100.00%,49.89%,False
2021-05-28,16.70%,33.39%,0.00%,0.00%,49.91%,100.00%,49.91%,False
2021-05-31,16.67%,33.33%,0.00%,0.00%,50.00%,100.00%,50.00%,True
2021-06-01,16.70%,33.42%,0.00%,0.00%,49.88%,100.00%,49.88%,False
2021-06-02,16.67%,33.35%,0.00%,0.00%,49.98%,100.00%,49.98%,False
2021-06-03,16.65%,33.32%,0.00%,0.00%,50.03%,100.00%,50.03%,False
2021-06-04,16.70%,33.41%,0.00%,0.00%,49.90%,100.00%,49.90%,False
2021-06-07,16.63%,33.28%,0.00%,0.00%,50.09%,100.00%,50.09%,False
2021-06-08,16.58%,33.19%,0.00%,0.00%,50.24%,100.00%,50.24%,False
2021-06-09,16.58%,33.20%,0.00%,0.00%,50.23%,100.00%,50.23%,False
2021-06-10,16.57%,33.18%,0.00%,0.00%,50.25%,100.00%,50.25%,False
2021-06-11,16.55%,33.12%,0.00%,0.00%,50.33%,100.00%,50.33%,False
2021-06-14,16.48%,32.99%,0.00%,0.00%,50.53%,100.00%,50.53%,False
2021-06-15,16.42%,32.86%,0.00%,0.00%,50.72%,100.00%,50.72%,False
2021-06-16,16.47%,32.94%,0.00%,0.00%,50.59%,100.00%,50.59%,False
2021-06-17,16.46%,32.92%,0.00%,0.00%,50.63%,100.00%,50.63%,False
2021-06-18,16.33%,32.69%,0.00%,0.00%,50.98%,100.00%,50.98%,False
2021-06-21,16.42%,32.84%,0.00%,0.00%,50.74%,100.00%,50.74%,False
2021-06-22,16.35%,32.71%,0.00%,0.00%,50.94%,100.00%,50.94%,False
2021-06-23,16.23%,32.50%,0.00%,0.00%,51.26%,100.00%,51.26%,False
2021-06-24,16.26%,32.53%,0.00%,0.00%,51.21%,100.00%,51.21%,False
2021-06-25,16.28%,32.52%,0.00%,0.00%,51.20%,100.00%,51.20%,False
2021-06-28,16.25%,32.46%,0.00%,0.00%,51.29%,100.00%,51.29%,False
2021-06-29,16.21%,32.40%,0.00%,0.00%,51.39%,100.00%,51.39%,False
2021-06-30,16.67%,33.33%,0.00%,0.00%,50.00%,100.00%,50.00%,True
2021-07-01,16.61%,33.24%,0.00%,0.00%,50.15%,100.00%,50.15%,False
2021-07-02,16.59%,33.19%,0.00%,0.00%,50.22%,100.00%,50.22%,False
2021-07-05,16.54%,33.11%,0.00%,0.00%,50.35%,100.00%,50.35%,False
2021-07-06,16.55%,33.13%,0.00%,0.00%,50.32%,100.00%,50.32%,False
2021-07-07,16.48%,32.99%,0.00%,0.00%,50.54%,100.00%,50.54%,False
2021-07-08,16.42%,32.90%,0.00%,0.00%,50.68%,100.00%,50.68%,False
2021-07-09,16.43%,32.92%,0.00%,0.00%,50.64%,100.00%,50.64%,False
2021-07-12,16.38%,32.81%,0.00%,0.00%,50.81%,100.00%,50.81%,False
2021-07-13,16.36%,32.76%,0.00%,0.00%,50.88%,100.00%,50.88%,False
2021-07-14,16.35%,32.76%,0.00%,0.00%,50.89%,100.00%,50.89%,False
2021-07-15,16.39%,32.78%,0.00%,0.00%,50.83%,100.00%,50.83%,False
2021-07-16,16.44%,32.91%,0.00%,0.00%,50.65%,100.00%,50.65%,False
2021-07-19,16.47%,32.97%,0.00%,0.00%,50.56%,100.00%,50.56%,False
2021-07-20,16.49%,33.02%,0.00%,0.00%,50.49%,100.00%,50.49%,False
2021-07-21,16.40%,32.84%,0.00%,0.00%,50.76%,100.00%,50.76%,False
2021-07-22,16.35%,32.74%,0.00%,0.00%,50.90%,100.00%,50.90%,False
2021-07-23,16.29%,32.62%,0.00%,0.00%,51.10%,100.00%,51.10%,False
2021-07-26,16.21%,32.49%,0.00%,0.00%,51.30%,100.00%,51.30%,False
2021-07-27,16.23%,32.53%,0.00%,0.00%,51.25%,100.00%,51.25%,False
2021-07-28,16.25%,32.54%,0.00%,0.00%,51.21%,100.00%,51.21%,False
