Date,069500.KS mkt val,114260.KS mkt val,133690.KS mkt val,143850.KS mkt val,153130.KS mkt val,157450.KS mkt val,229200.KS mkt val,cash_rem,port_val,일별수익률,누적수익률
2020-04-06,767.13501803684,0.0,0.0,0.0,0.0,0.0,779.2653748717934,0.0,1546.4003929086334,0.03993772293157316,0.5464003929086334
2020-04-07,779.1703473744188,0.0,0.0,0.0,0.0,0.0,782.5089352250578,0.0,1561.6792825994767,0.009880293461452805,0.5616792825994767
2020-04-08,767.7602299504805,0.0,0.0,0.0,0.0,0.0,778.8599298276353,0.0,1546.6201597781157,-0.009642903628902855,0.5466201597781157
2020-04-09,779.9518622664693,0.0,0.0,0.0,0.0,0.0,785.3470505341643,0.0,1565.2989128006336,0.0120771431203881,0.5652989128006336
2020-04-10,786.5165873596942,0.0,0.0,0.0,0.0,0.0,779.2653748717934,0.0,1565.7819622314876,0.0003085988413482621,0.5657819622314875
2020-04-13,773.0745312164244,0.0,0.0,0.0,0.0,0.0,763.0475731054709,0.0,1536.1221043218952,-0.01894252113322492,0.5361221043218953
2020-04-14,786.5165873596942,0.0,0.0,0.0,0.0,0.0,783.3198253133739,0.0,1569.836412673068,0.02194767476902859,0.569836412673068
2020-04-16,786.5165873596942,0.0,0.0,0.0,0.0,0.0,803.5920775212769,0.0,1590.108664880971,0.012913608095880491,0.590108664880971
2020-04-17,810.4309430564417,0.0,0.0,0.0,0.0,0.0,814.9445387577025,0.0,1625.3754818141442,0.022178872244440706,0.6253754818141442
2020-04-20,800.7401583950146,0.0,0.0,0.0,0.0,0.0,812.5118684927542,0.0,1613.2520268877688,-0.007458864159095024,0.6132520268877688
2020-04-21,791.8308886256382,0.0,0.0,0.0,0.0,0.0,804.4029676095929,0.0,1596.233856235231,-0.010548984516305593,0.5962338562352312
2020-04-22,798.7082196756832,0.0,0.0,0.0,0.0,0.0,812.511868492754,0.0,1611.220088168437,0.009388493969518574,0.6112200881684371
2020-04-23,806.5233685961888,0.0,0.0,0.0,0.0,0.0,816.9717639784928,0.0,1623.4951325746815,0.007618477758800868,0.6234951325746816
2020-04-24,794.48803925861,0.0,0.0,0.0,0.0,0.0,804.808412653751,0.0,1599.2964519123611,-0.014905299176317222,0.5992964519123611
2020-04-27,810.2746400780316,0.0,0.0,0.0,0.0,0.0,820.2153243317573,0.0,1630.4899644097889,0.019504521791521512,0.6304899644097888
2020-04-28,801.8342792438855,0.0,0.0,0.0,0.0,0.0,806.4301928303831,0.0,1608.2644720742687,-0.013631173954244735,0.6082644720742687
2020-04-29,0.0,0.0,806.5866641480272,806.5866641480272,0.0,0.0,0.0,0.0,1613.1733282960545,0.003052269267289409,0.6131733282960545
2020-05-04,0.0,0.0,799.804403191317,781.1521300413216,0.0,0.0,0.0,0.0,1580.9565332326385,-0.019971068513416013,0.5809565332326385
2020-05-06,0.0,0.0,822.8305977974322,802.3875665360712,0.0,0.0,0.0,0.0,1625.2181643335034,0.02799674132113017,0.6252181643335033
2020-05-07,0.0,0.0,830.1989800713891,797.3486494017238,0.0,0.0,0.0,0.0,1627.547629473113,0.0014333245780357995,0.6275476294731128
2020-05-08,0.0,0.0,841.5027483325729,813.1852461096727,0.0,0.0,0.0,0.0,1654.6879944422456,0.016675619488886406,0.6546879944422455
2020-05-11,0.0,0.0,846.0242556370465,819.0639827664113,0.0,0.0,0.0,0.0,1665.0882384034578,0.006285320251397497,0.6650882384034578
2020-05-12,0.0,0.0,850.378299708021,809.7059938026234,0.0,0.0,0.0,0.0,1660.0842935106443,-0.0030052130436111213,0.6600842935106443
2020-05-13,0.0,0.0,839.2419946803362,798.6683657940531,0.0,0.0,0.0,0.0,1637.9103604743893,-0.013357112721886555,0.6379103604743894
2020-05-14,0.0,0.0,826.2635940841623,781.2721042588064,0.0,0.0,0.0,0.0,1607.5356983429688,-0.01854476463695065,0.6075356983429687
2020-05-15,0.0,0.0,839.1582630635868,794.5892423995815,0.0,0.0,0.0,0.0,1633.7475054631682,0.016305583227307574,0.6337475054631683
2020-05-18,0.0,0.0,852.0529320430113,804.7870508857607,0.0,0.0,0.0,0.0,1656.8399829287719,0.014134667314492422,0.6568399829287719
2020-05-19,0.0,0.0,862.4356525199505,824.3428483357278,0.0,0.0,0.0,0.0,1686.7785008556784,0.018069649595240156,0.6867785008556784
2020-05-20,0.0,0.0,864.3614797051894,817.1443952866601,0.0,0.0,0.0,0.0,1681.5058749918494,-0.0031258555057195325,0.6815058749918494
2020-05-21,0.0,0.0,874.1580788648821,821.4634671161008,0.0,0.0,0.0,0.0,1695.6215459809828,0.008394660523681985,0.6956215459809827
2020-05-22,0.0,0.0,863.7753583879429,813.5451687621264,0.0,0.0,0.0,0.0,1677.3205271500692,-0.010793103493106249,0.6773205271500693
2020-05-25,0.0,0.0,884.5407993418214,827.2222295553548,0.0,0.0,0.0,0.0,1711.7630288971764,0.02053423969336876,0.7117630288971764
2020-05-26,0.0,0.0,890.3182808975375,840.4193934786454,0.0,0.0,0.0,0.0,1730.737674376183,0.011084855297541552,0.7307376743761829
2020-05-27,0.0,0.0,878.7633177861052,840.4193934786454,0.0,0.0,0.0,0.0,1719.1827112647507,-0.0066763226354317196,0.7191827112647506
