Date,6,5,3,2,1,total,위험자산비중,rebal
2021-04-09,23.33%,46.67%,0.00%,30.00%,0.00%,100.00%,30.00%,True
2021-04-12,23.29%,46.61%,0.00%,30.10%,0.00%,100.00%,30.10%,False
2021-04-13,23.19%,46.41%,0.00%,30.41%,0.00%,100.00%,30.41%,False
2021-04-14,23.15%,46.36%,0.00%,30.49%,0.00%,100.00%,30.49%,False
2021-04-15,23.16%,46.34%,0.00%,30.50%,0.00%,100.00%,30.50%,False
2021-04-16,23.13%,46.28%,0.00%,30.59%,0.00%,100.00%,30.59%,False
2021-04-19,23.08%,46.20%,0.00%,30.73%,0.00%,100.00%,30.73%,False
2021-04-20,23.09%,46.20%,0.00%,30.71%,0.00%,100.00%,30.71%,False
2021-04-21,23.19%,46.41%,0.00%,30.40%,0.00%,100.00%,30.40%,False
2021-04-22,23.17%,46.39%,0.00%,30.44%,0.00%,100.00%,30.44%,False
2021-04-23,23.17%,46.38%,0.00%,30.45%,0.00%,100.00%,30.45%,False
2021-04-26,23.15%,46.31%,0.00%,30.54%,0.00%,100.00%,30.54%,False
2021-04-27,23.20%,46.43%,0.00%,30.38%,0.00%,100.00%,30.38%,False
2021-04-28,23.36%,46.73%,0.00%,29.91%,0.00%,100.00%,29.91%,False
2021-04-29,23.46%,46.96%,0.00%,29.57%,0.00%,100.00%,29.57%,False
2021-04-30,23.33%,46.67%,0.00%,0.00%,30.00%,100.00%,30.00%,True
2021-05-03,23.28%,46.56%,0.00%,0.00%,30.16%,100.00%,30.16%,False
2021-05-04,23.33%,46.64%,0.00%,0.00%,30.04%,100.00%,30.04%,False
2021-05-06,23.37%,46.75%,0.00%,0.00%,29.88%,100.00%,29.88%,False
2021-05-07,23.34%,46.68%,0.00%,0.00%,29.98%,100.00%,29.98%,False
2021-05-10,23.34%,46.68%,0.00%,0.00%,29.98%,100.00%,29.98%,False
2021-05-11,23.47%,46.95%,0.00%,0.00%,29.58%,100.00%,29.58%,False
2021-05-12,23.46%,46.93%,0.00%,0.00%,29.61%,100.00%,29.61%,False
2021-05-13,23.55%,47.10%,0.00%,0.00%,29.35%,100.00%,29.35%,False
2021-05-14,23.47%,46.94%,0.00%,0.00%,29.59%,100.00%,29.59%,False
2021-05-17,23.35%,46.70%,0.00%,0.00%,29.95%,100.00%,29.95%,False
2021-05-18,23.36%,46.74%,0.00%,0.00%,29.91%,100.00%,29.91%,False
2021-05-20,23.45%,46.91%,0.00%,0.00%,29.64%,100.00%,29.64%,False
2021-05-21,23.36%,46.75%,0.00%,0.00%,29.89%,100.00%,29.89%,False
2021-05-24,23.38%,46.78%,0.00%,0.00%,29.85%,100.00%,29.85%,False
2021-05-25,23.30%,46.61%,0.00%,0.00%,30.09%,100.00%,30.09%,False
2021-05-26,23.35%,46.70%,0.00%,0.00%,29.94%,100.00%,29.94%,False
2021-05-27,23.35%,46.73%,0.00%,0.00%,29.91%,100.00%,29.91%,False
2021-05-28,23.36%,46.72%,0.00%,0.00%,29.92%,100.00%,29.92%,False
2021-05-31,23.33%,46.67%,0.00%,0.00%,30.00%,100.00%,30.00%,True
2021-06-01,23.36%,46.74%,0.00%,0.00%,29.90%,100.00%,29.90%,False
2021-06-02,23.33%,46.69%,0.00%,0.00%,29.98%,100.00%,29.98%,False
2021-06-03,23.32%,46.66%,0.00%,0.00%,30.02%,100.00%,30.02%,False
2021-06-04,23.36%,46.73%,0.00%,0.00%,29.91%,100.00%,29.91%,False
2021-06-07,23.30%,46.62%,0.00%,0.00%,30.08%,100.00%,30.08%,False
2021-06-08,23.25%,46.55%,0.00%,0.00%,30.20%,100.00%,30.20%,False
2021-06-09,23.25%,46.56%,0.00%,0.00%,30.19%,100.00%,30.19%,False
2021-06-10,23.25%,46.54%,0.00%,0.00%,30.21%,100.00%,30.21%,False
2021-06-11,23.24%,46.49%,0.00%,0.00%,30.28%,100.00%,30.28%,False
2021-06-14,23.17%,46.38%,0.00%,0.00%,30.45%,100.00%,30.45%,False
2021-06-15,23.12%,46.27%,0.00%,0.00%,30.61%,100.00%,30.61%,False
2021-06-16,23.16%,46.34%,0.00%,0.00%,30.50%,100.00%,30.50%,False
2021-06-17,23.16%,46.31%,0.00%,0.00%,30.53%,100.00%,30.53%,False
2021-06-18,23.05%,46.13%,0.00%,0.00%,30.83%,100.00%,30.83%,False
2021-06-21,23.13%,46.25%,0.00%,0.00%,30.62%,100.00%,30.62%,False
2021-06-22,23.06%,46.14%,0.00%,0.00%,30.80%,100.00%,30.80%,False
2021-06-23,22.96%,45.97%,0.00%,0.00%,31.07%,100.00%,31.07%,False
2021-06-24,22.99%,45.98%,0.00%,0.00%,31.03%,100.00%,31.03%,False
2021-06-25,23.01%,45.97%,0.00%,0.00%,31.02%,100.00%,31.02%,False
2021-06-28,22.98%,45.92%,0.00%,0.00%,31.10%,100.00%,31.10%,False
2021-06-29,22.95%,45.87%,0.00%,0.00%,31.18%,100.00%,31.18%,False
2021-06-30,23.33%,46.67%,0.00%,0.00%,30.00%,100.00%,30.00%,True
2021-07-01,23.28%,46.59%,0.00%,0.00%,30.12%,100.00%,30.12%,False
2021-07-02,23.27%,46.55%,0.00%,0.00%,30.18%,100.00%,30.18%,False
2021-07-05,23.22%,46.48%,0.00%,0.00%,30.29%,100.00%,30.29%,False
2021-07-06,23.23%,46.50%,0.00%,0.00%,30.27%,100.00%,30.27%,False
2021-07-07,23.17%,46.38%,0.00%,0.00%,30.45%,100.00%,30.45%,False
2021-07-08,23.12%,46.31%,0.00%,0.00%,30.57%,100.00%,30.57%,False
2021-07-09,23.13%,46.33%,0.00%,0.00%,30.54%,100.00%,30.54%,False
2021-07-12,23.08%,46.23%,0.00%,0.00%,30.69%,100.00%,30.69%,False
2021-07-13,23.07%,46.19%,0.00%,0.00%,30.74%,100.00%,30.74%,False
2021-07-14,23.05%,46.19%,0.00%,0.00%,30.75%,100.00%,30.75%,False
2021-07-15,23.10%,46.19%,0.00%,0.00%,30.70%,100.00%,30.70%,False
2021-07-16,23.14%,46.32%,0.00%,0.00%,30.55%,100.00%,30.55%,False
2021-07-19,23.16%,46.37%,0.00%,0.00%,30.47%,100.00%,30.47%,False
2021-07-20,23.18%,46.41%,0.00%,0.00%,30.41%,100.00%,30.41%,False
2021-07-21,23.10%,46.26%,0.00%,0.00%,30.64%,100.00%,30.64%,False
2021-07-22,23.06%,46.17%,0.00%,0.00%,30.77%,100.00%,30.77%,False
2021-07-23,23.00%,46.07%,0.00%,0.00%,30.93%,100.00%,30.93%,False
2021-07-26,22.94%,45.96%,0.00%,0.00%,31.11%,100.00%,31.11%,False
2021-07-27,22.95%,46.00%,0.00%,0.00%,31.06%,100.00%,31.06%,False
2021-07-28,22.97%,46.00%,0.00%,0.00%,31.02%,100.00%,31.02%,False
2021-07-29,23.01%,46.08%,0.00%,0.00%,30.91%,100.00%,30.91%,False
2021-07-30,23.33%,46.67%,0.00%,0.00%,30.00%,100.00%,30.00%,True
2021-08-02,23.25%,46.50%,0.00%,0.00%,30.24%,100.00%,30.24%,False
2021-08-03,23.30%,46.59%,0.00%,0.00%,30.11%,100.00%,30.11%,False
2021-08-04,23.29%,46.58%,0.00%,0.00%,30.13%,100.00%,30.13%,False
2021-08-05,23.30%,46.60%,0.00%,0.00%,30.11%,100.00%,30.11%,False
2021-08-06,23.27%,46.55%,0.00%,0.00%,30.18%,100.00%,30.18%,False
2021-08-09,23.29%,46.57%,0.00%,0.00%,30.13%,100.00%,30.13%,False
2021-08-10,23.24%,46.48%,0.00%,0.00%,30.28%,100.00%,30.28%,False
2021-08-11,23.20%,46.42%,0.00%,0.00%,30.38%,100.00%,30.38%,False
2021-08-12,23.18%,46.36%,0.00%,0.00%,30.46%,100.00%,30.46%,False
2021-08-13,23.10%,46.20%,0.00%,0.00%,30.70%,100.00%,30.70%,False
2021-08-17,23.04%,46.09%,0.00%,0.00%,30.87%,100.00%,30.87%,False
2021-08-18,23.12%,46.27%,0.00%,0.00%,30.61%,100.00%,30.61%,False
2021-08-19,23.19%,46.43%,0.00%,0.00%,30.38%,100.00%,30.38%,False
2021-08-20,23.11%,46.28%,0.00%,0.00%,30.61%,100.00%,30.61%,False
2021-08-23,23.06%,46.15%,0.00%,0.00%,30.79%,100.00%,30.79%,False
2021-08-24,23.04%,46.06%,0.00%,0.00%,30.90%,100.00%,30.90%,False
2021-08-25,23.02%,46.05%,0.00%,0.00%,30.93%,100.00%,30.93%,False
2021-08-26,23.01%,46.03%,0.00%,0.00%,30.96%,100.00%,30.96%,False
2021-08-27,23.01%,46.06%,0.00%,0.00%,30.93%,100.00%,30.93%,False
2021-08-30,22.98%,46.01%,0.00%,0.00%,31.01%,100.00%,31.01%,False
