Date,114260.KS mkt val,153130.KS mkt val,157450.KS mkt val,229200.KS mkt val,278530.KS mkt val,379800.KS mkt val,379810.KS mkt val,cash_rem,port_val,일별수익률,누적수익률
2021-07-28,0.0,0.0,0.0,0.0,0.0,539.1619661646138,538.9616393862293,0.0,1078.123605550843,-0.0021796762676215,0.07812360555084297
2021-07-29,0.0,0.0,0.0,0.0,0.0,535.5450477869442,536.8276073781009,0.0,1072.3726551650452,-0.0053342217498887345,0.07237265516504521
2021-07-30,0.0,0.0,0.0,0.0,0.0,533.8071544582747,533.8071544582747,0.0,1067.6143089165494,-0.004437213337711854,0.06761430891654929
2021-08-02,0.0,0.0,0.0,0.0,0.0,538.8635145140364,541.1683741149502,0.0,1080.0318886289865,0.011631147698871525,0.08003188862898658
2021-08-03,0.0,0.0,0.0,0.0,0.0,535.0110497096465,538.0814110331186,0.0,1073.092460742765,-0.006425206477033263,0.07309246074276499
2021-08-04,0.0,0.0,0.0,0.0,0.0,535.4926078101952,539.0312458275283,0.0,1074.5238536377235,0.0013338952115715674,0.07452385363772351
2021-08-05,0.0,0.0,0.0,0.0,0.0,533.8071544582746,539.2687045261307,0.0,1073.0758589844054,-0.0013475686448616297,0.07307585898440538
2021-08-06,0.0,0.0,0.0,0.0,0.0,535.2518287599207,541.4058328135526,0.0,1076.6576615734734,0.0033378838588895565,0.07665766157347353
2021-08-09,0.0,0.0,0.0,0.0,0.0,535.9741659107437,538.318869731721,0.0,1074.2930356424647,-0.0021962653640089647,0.0742930356424647
2021-08-10,0.0,0.0,0.0,0.0,0.0,538.8635145140362,543.3055024023721,0.0,1082.1690169164083,0.007331315583958498,0.08216901691640821
2021-08-11,0.0,0.0,0.0,0.0,0.0,543.1975374189748,543.780419799577,0.0,1086.9779572185516,0.0044437978051212745,0.08697795721855162
2021-08-12,0.0,0.0,0.0,0.0,0.0,546.8092231730902,544.4927958953843,0.0,1091.3020190684747,0.003978058452066335,0.0913020190684748
2021-08-13,0.0,0.0,0.0,0.0,0.0,552.1063622791263,551.3790981548549,0.0,1103.4854604339812,0.011164133441177171,0.10348546043398121
2021-08-17,0.0,0.0,0.0,0.0,0.0,556.9219432846137,555.8908134283012,0.0,1112.812756712915,0.00845257741344918,0.11281275671291491
2021-08-18,0.0,0.0,0.0,0.0,0.0,551.1432460780288,548.5295937716256,0.0,1099.6728398496543,-0.011807841691241938,0.09967283984965425
