Date,6,5,3,2,1,total,위험자산비중,rebal
2021-04-09,10.00%,20.00%,0.00%,70.00%,0.00%,100.00%,70.00%,True
2021-04-12,9.96%,19.94%,0.00%,70.10%,0.00%,100.00%,70.10%,False
2021-04-13,9.86%,19.73%,0.00%,70.40%,0.00%,100.00%,70.40%,False
2021-04-14,9.83%,19.68%,0.00%,70.48%,0.00%,100.00%,70.48%,False
2021-04-15,9.83%,19.68%,0.00%,70.49%,0.00%,100.00%,70.49%,False
2021-04-16,9.80%,19.61%,0.00%,70.59%,0.00%,100.00%,70.59%,False
2021-04-19,9.76%,19.53%,0.00%,70.72%,0.00%,100.00%,70.72%,False
2021-04-20,9.76%,19.54%,0.00%,70.70%,0.00%,100.00%,70.70%,False
2021-04-21,9.86%,19.74%,0.00%,70.40%,0.00%,100.00%,70.40%,False
2021-04-22,9.85%,19.72%,0.00%,70.44%,0.00%,100.00%,70.44%,False
2021-04-23,9.85%,19.71%,0.00%,70.44%,0.00%,100.00%,70.44%,False
2021-04-26,9.82%,19.65%,0.00%,70.54%,0.00%,100.00%,70.54%,False
2021-04-27,9.87%,19.75%,0.00%,70.38%,0.00%,100.00%,70.38%,False
2021-04-28,10.03%,20.06%,0.00%,69.91%,0.00%,100.00%,69.91%,False
2021-04-29,10.14%,20.29%,0.00%,69.57%,0.00%,100.00%,69.57%,False
2021-04-30,10.00%,20.00%,0.00%,0.00%,70.00%,100.00%,70.00%,True
2021-05-03,9.95%,19.89%,0.00%,0.00%,70.16%,100.00%,70.16%,False
2021-05-04,9.99%,19.97%,0.00%,0.00%,70.04%,100.00%,70.04%,False
2021-05-06,10.04%,20.08%,0.00%,0.00%,69.88%,100.00%,69.88%,False
2021-05-07,10.01%,20.01%,0.00%,0.00%,69.98%,100.00%,69.98%,False
2021-05-10,10.00%,20.01%,0.00%,0.00%,69.98%,100.00%,69.98%,False
2021-05-11,10.14%,20.28%,0.00%,0.00%,69.58%,100.00%,69.58%,False
2021-05-12,10.13%,20.26%,0.00%,0.00%,69.61%,100.00%,69.61%,False
2021-05-13,10.22%,20.44%,0.00%,0.00%,69.34%,100.00%,69.34%,False
2021-05-14,10.14%,20.28%,0.00%,0.00%,69.58%,100.00%,69.58%,False
2021-05-17,10.02%,20.04%,0.00%,0.00%,69.95%,100.00%,69.95%,False
2021-05-18,10.03%,20.06%,0.00%,0.00%,69.91%,100.00%,69.91%,False
2021-05-20,10.12%,20.24%,0.00%,0.00%,69.64%,100.00%,69.64%,False
2021-05-21,10.03%,20.08%,0.00%,0.00%,69.89%,100.00%,69.89%,False
2021-05-24,10.05%,20.10%,0.00%,0.00%,69.85%,100.00%,69.85%,False
2021-05-25,9.97%,19.94%,0.00%,0.00%,70.09%,100.00%,70.09%,False
2021-05-26,10.02%,20.04%,0.00%,0.00%,69.94%,100.00%,69.94%,False
2021-05-27,10.03%,20.06%,0.00%,0.00%,69.91%,100.00%,69.91%,False
2021-05-28,10.03%,20.05%,0.00%,0.00%,69.92%,100.00%,69.92%,False
2021-05-31,10.00%,20.00%,0.00%,0.00%,70.00%,100.00%,70.00%,True
2021-06-01,10.03%,20.07%,0.00%,0.00%,69.90%,100.00%,69.90%,False
2021-06-02,10.00%,20.02%,0.00%,0.00%,69.98%,100.00%,69.98%,False
2021-06-03,9.99%,19.99%,0.00%,0.00%,70.02%,100.00%,70.02%,False
2021-06-04,10.03%,20.06%,0.00%,0.00%,69.91%,100.00%,69.91%,False
2021-06-07,9.97%,19.95%,0.00%,0.00%,70.08%,100.00%,70.08%,False
